run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
89-w,web,1,0,0,2,2,13.072189393806,1.72923203157222,2.45192627707071,-1.33821140302519
9-w,web,1,0,1,8,3,11.4948779972733,2.18295642344869,4.05168455719578,-1.25233395836511
90-w,web,1,1,1,8,2,17.9088875657887,2.43998193728446,4.02693159002553,-1.135520032182
91-w,web,1,1,0,2,3,14.1017987183296,2.3009524204933,2.44271157145867,-1.19362063832726
92-w,web,1,1,0,8,1,16.9638461977438,2.06419513554323,4.03506411716905,-1.12447074370217
93-w,web,1,0,0,2,2,13.1195577870996,1.73135255009345,2.45242878916941,-1.33489938032144
94-w,web,1,1,0,2,1,14.0873250469247,2.08507264598725,2.44827111456664,-1.11455570583065
95-w,web,1,1,0,8,3,17.0985402237372,2.29658088045695,4.03309707595095,-1.18848082933676
96-w,web,1,1,0,8,1,16.5801421284146,2.06470891171139,4.0378469231785,-1.11259062016485
97-w,web,1,1,0,2,2,13.7817268891623,1.98352521492577,2.44858728636605,-1.21959222368991
98-w,web,1,1,0,8,1,16.4454740103309,2.06419513554323,4.03618809751683,-1.11776677570123
99-w,web,1,0,0,8,2,15.5811785775373,1.69910108432438,4.04717801719916,-1.30150822333077
1-e,electron,1,1,0,2,3,14.1979352617939,1.3243876838858,2.444515021252,-1.13237747942375
10-e,electron,1,0,0,8,3,10.803441672875,1.08916891592789,4.04840654645389,-1.30032267682
100-e,electron,1,1,0,8,2,16.4188844369799,1.08991370117012,4.03888943807968,-1.19044065823966
101-e,electron,1,0,1,8,2,17.4853595116578,1.28585758150061,4.02983578720697,-1.08685630746941
102-e,electron,1,0,1,8,2,17.4875964551926,1.26837795994435,4.02932285543673,-1.08172890707475
103-e,electron,1,0,1,8,1,12.3027010153828,0.863174952239027,4.0349629636837,-1.21081202863886
104-e,electron,1,0,1,2,2,14.7829685585349,1.25711354159912,2.43386332078112,-1.08792818591097
105-e,electron,1,1,0,8,2,16.401660174712,1.08966931276796,4.03950266115609,-1.20351001720747
106-e,electron,1,0,0,8,2,15.5685211106495,0.973939835263244,4.05200558085684,-1.31839287564045
107-e,electron,1,0,1,8,3,11.9775709840334,1.44532699786505,4.03780107499341,-1.13201649086211
108-e,electron,1,1,0,2,1,13.5543547243403,0.792228987334642,2.44088235105205,-1.05757167334836
109-e,electron,1,0,0,8,2,15.5704965671342,0.97072972505469,4.05104225970431,-1.32325317130881
11-e,electron,1,1,0,8,1,15.8780044206747,0.763802786377875,4.02404795797986,-1.10529885070389
110-e,electron,1,1,1,8,2,17.7587818008984,1.42038076989372,4.02177732672904,-1.07225546585399
111-e,electron,1,0,1,8,1,12.7038589511725,0.863425245098214,4.03050834265977,-1.2236540031596
